bmr,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",113,0.245404676,0.234851619,0.267593473,0.216425441,0.443109673,0.318491585,0.338880697,0.210835592,0.270562038
"Central tendency: Relative, 0.05: Adversity: 0.05,",114,0.274400105,0.24903091,0.325642138,0.219375292,0.251019338,0.355636312,0.306125659,0.23489445,0.253849357
"Central tendency: Relative, 0.05: Adversity: 0.05,",115,0.221688968,0.234500647,0.348151214,0.213844899,0.456861539,0.43842524,0.366957507,0.221021124,0.276566465
"Central tendency: Relative, 0.05: Adversity: 0.05,",116,0.250274639,0.243272867,0.27099769,0.242348007,0.486814924,0.264653317,0.287757015,0.165977872,0.264653572
"Central tendency: Relative, 0.05: Adversity: 0.05,",117,0.250473764,0.231988929,0.303916878,0.233798573,0.348456166,0.302089828,0.320209195,0.221364993,0.27504426
"Central tendency: Relative, 0.05: Adversity: 0.05,",118,0.233400392,0.238787067,0.278179576,0.224313562,0.457624248,0.289904354,0.398094244,0.22005452,0.263082122
"Central tendency: Relative, 0.05: Adversity: 0.05,",119,0.238391161,0.229566956,0.321085258,0.225776334,0.462293282,0.264720724,0.281335796,0.248242072,0.296194048
"Central tendency: Relative, 0.05: Adversity: 0.05,",120,0.262032451,0.232910753,0.412081345,0.22277774,0.391706375,0.286388982,0.302881697,0.223660533,0.29118177
"Central tendency: Relative, 0.05: Adversity: 0.05,",121,0.229617805,0.242629203,0.302365713,0.236349412,0.466530024,0.319543576,0.288954589,0.215479305,0.272782574
"Central tendency: Relative, 0.05: Adversity: 0.05,",122,0.238440605,0.227025683,0.264284458,0.233656428,0.354815746,0.44936059,0.368132079,0.222008382,0.265415302
"Central tendency: Relative, 0.05: Adversity: 0.05,",123,0.246620144,0.259935232,0.323729945,0.236973165,0.426191583,0.28826506,0.298908243,0.196931889,0.269837898
"Central tendency: Relative, 0.05: Adversity: 0.05,",124,0.249821095,0.244676802,0.278208318,0.261848316,0.279623965,0.338684857,0.355217313,0.235416935,0.278732041
"Central tendency: Relative, 0.05: Adversity: 0.05,",125,0.262090183,0.256223445,0.352574533,0.238470104,0.32662565,0.35388163,0.279035348,0.234859896,0.27254712
"Central tendency: Relative, 0.05: Adversity: 0.05,",126,0.237893911,0.251351251,0.257242184,0.224996534,0.302991004,0.236130722,0.287400072,0.210278442,0.255448641
"Central tendency: Relative, 0.05: Adversity: 0.05,",127,0.246195574,0.22674089,0.263591146,0.235754687,0.325523593,0.305110851,0.434765806,0.214187652,0.250802048
"Central tendency: Relative, 0.05: Adversity: 0.05,",128,0.244452822,0.232684289,0.397543013,0.228952391,0.353286198,0.274810874,0.303682203,0.211059433,0.25935152
"Central tendency: Relative, 0.05: Adversity: 0.05,",129,0.241190614,0.249447721,0.33657714,0.23222669,0.383324236,0.31294828,0.428379908,0.236321936,0.272283346
"Central tendency: Relative, 0.05: Adversity: 0.05,",130,0.235949333,0.224873962,0.262707381,0.245363006,0.290899269,0.295493472,0.329207285,0.23569759,0.275018808
"Central tendency: Relative, 0.05: Adversity: 0.05,",131,0.250496187,0.274072581,0.40635857,0.232160736,0.464469329,0.457025831,0.355117783,0.219820945,0.285646069
"Central tendency: Relative, 0.05: Adversity: 0.05,",132,0.246386187,0.256772885,0.297497879,0.222096438,0.363534377,0.328321467,0.352786448,0.185465078,0.28990468
"Central tendency: Relative, 0.05: Adversity: 0.05,",133,0.244460212,0.267077403,0.312703888,0.242852913,0.286232338,0.393721125,0.405774847,0.24831452,0.282608817
"Central tendency: Relative, 0.05: Adversity: 0.05,",134,0.25377424,0.233448727,0.290887117,0.252811647,0.432062934,0.471257832,0.347519928,0.207428808,0.241839714
"Central tendency: Relative, 0.05: Adversity: 0.05,",135,0.263145447,0.235354379,0.319113976,0.233328286,0.407806582,0.288184417,0.27339102,0.262697321,0.258594896
"Central tendency: Relative, 0.05: Adversity: 0.05,",136,0.251159005,0.256570754,0.332879125,0.235761561,0.476330149,0.377358745,0.321227769,0.203797583,0.260376977
"Central tendency: Relative, 0.05: Adversity: 0.05,",137,0.253831016,0.244310169,0.327093279,0.234724065,0.327496409,0.355017749,0.2924343,0.223140656,0.251341515
"Central tendency: Relative, 0.05: Adversity: 0.05,",138,0.256192263,0.223645688,0.345560092,0.228180568,0.432445482,0.274182879,0.440107715,0.232271381,0.260610041
"Central tendency: Relative, 0.05: Adversity: 0.05,",139,0.256359774,0.252430036,0.303411405,0.183484513,0.444948662,0.363475756,0.348433361,0.230848135,0.278441474
"Central tendency: Relative, 0.05: Adversity: 0.05,",140,0.219154349,0.265366834,0.279222423,0.253873485,0.308347756,0.330593066,0.312621872,0.181332038,0.273136427
"Central tendency: Relative, 0.05: Adversity: 0.05,",141,0.241021223,0.268787994,0.342602792,0.257595315,0.387271475,0.313425781,0.284497822,0.205409804,0.264121538
"Central tendency: Relative, 0.05: Adversity: 0.05,",142,0.248228636,0.23322803,0.308718236,0.250963703,0.496108908,0.293978784,0.287521848,0.208809091,0.255905734
"Central tendency: Relative, 0.05: Adversity: 0.05,",143,0.259334688,0.243034665,0.315788146,0.245585059,0.484180756,0.459244879,0.285847754,0.23123478,0.254586664
"Central tendency: Relative, 0.05: Adversity: 0.05,",144,0.249447721,0.236448808,0.348551851,0.23238163,0.326275579,0.326742066,0.35518181,0.182194032,0.280620527
"Central tendency: Relative, 0.05: Adversity: 0.05,",145,0.231900207,0.23924872,0.288448424,0.227115895,0.25901562,0.281909303,0.339978919,0.227189902,0.248286408
"Central tendency: Relative, 0.05: Adversity: 0.05,",146,0.240814701,0.235407233,0.342980178,0.2086152,0.472635096,0.3855751,0.32106433,0.239271417,0.336408014
"Central tendency: Relative, 0.05: Adversity: 0.05,",147,0.250274846,0.245042652,0.279260355,0.278031289,0.409751114,0.348561208,0.295713048,0.224875664,0.273788942
"Central tendency: Relative, 0.05: Adversity: 0.05,",148,0.24180301,0.237172732,0.334552271,0.235921505,0.314011035,0.228319415,0.355771027,0.255842851,0.258964452
"Central tendency: Relative, 0.05: Adversity: 0.05,",149,0.264932271,0.261317535,0.401326399,0.243570084,0.481157302,0.230245166,0.249377075,0.220335726,0.259474809
"Central tendency: Relative, 0.05: Adversity: 0.05,",150,0.23186389,0.248423539,0.37379983,0.224838446,0.33116133,0.396734721,0.278089729,0.208417952,0.243052835
"Central tendency: Relative, 0.05: Adversity: 0.05,",151,0.247737582,0.245101996,0.293808136,0.246914137,0.47126414,0.381932684,0.437850567,0.211861121,0.287852265
"Central tendency: Relative, 0.05: Adversity: 0.05,",152,0.254578565,0.263447135,0.295381686,0.249125472,0.440140668,0.360241057,0.312319732,0.241062015,0.253643669
"Central tendency: Relative, 0.05: Adversity: 0.05,",153,0.231268609,0.267239691,0.250554516,0.224740343,0.480637362,0.239998601,0.261962943,0.228638575,0.262170498
"Central tendency: Relative, 0.05: Adversity: 0.05,",154,0.23512624,0.25322161,0.291039692,0.223671383,0.435565678,0.316798908,0.313745947,0.178591874,0.29904545
"Central tendency: Relative, 0.05: Adversity: 0.05,",155,0.238848747,0.231537328,0.248726297,0.245526909,0.431736414,0.278428345,0.390658154,0.22880144,0.250443272
"Central tendency: Relative, 0.05: Adversity: 0.05,",156,0.229789365,0.262944932,0.28569903,0.239166381,0.333216698,0.431986513,0.412099971,0.218304267,0.262429291
"Central tendency: Relative, 0.05: Adversity: 0.05,",157,0.253632981,0.250388305,0.39941231,0.243891397,0.46663729,0.278801332,0.33333558,0.230286846,0.274209462
